STATE,STATENAME,POP10,E0_0_0y,SE_E0_0_0y,CI_low_E0_0_0y,CI_high_E0_0_0y,E0_1_4y,SE_E0_1_4y,CI_low_E0_1_4y,CI_high_E0_1_4y,E0_5_14y,SE_E0_5_14y,CI_low_E0_5_14y,CI_high_E0_5_14y,E0_15_24y,SE_E0_15_24y,CI_low_E0_15_24y,CI_high_E0_15_24y,E0_25_34y,SE_E0_25_34y,CI_low_E0_25_34y,CI_high_E0_25_34y,E0_35_44y,SE_E0_35_44y,CI_low_E0_35_44y,CI_high_E0_35_44y,E0_45_54y,SE_E0_45_54y,CI_low_E0_45_54y,CI_high_E0_45_54y,E0_55_64y,SE_E0_55_64y,CI_low_E0_55_64y,CI_high_E0_55_64y,E0_65_74y,SE_E0_65_74y,CI_low_E0_65_74y,CI_high_E0_65_74y,E0_75_84y,SE_E0_75_84y,CI_low_E0_75_84y,CI_high_E0_75_84y,E0_85_upy,SE_E0_85_upy,CI_low_E0_85_upy,CI_high_E0_85_upy
01,AL,4548455.0,75.3512153907206,0.011059161688772157,75.32953943381061,75.37289134763058,75.11644943173012,0.010436175821076187,75.09599452712081,75.13690433633943,71.2703153928092,0.01041678076890537,71.24989850250213,71.29073228311626,61.430129307644016,0.010402822527518745,61.40973977549008,61.45051883979795,52.045130115610675,0.010328851986117042,52.02488556571789,52.06537466550346,42.865386202567684,0.010256624983745459,42.845283217599544,42.885489187535825,33.89685567956592,0.010257971361307582,33.876750055697755,33.91696130343408,25.597796240701516,0.010451520888368563,25.577311259760314,25.618281221642718,18.079903725550768,0.011069758292391325,18.05820699929768,18.101600451803854,11.487773298845433,0.012687146320025898,11.462906492058181,11.512640105632684,6.444706938949599,0.01843438231211159,6.4085755496178605,6.4808383282813375
02,AK,648101.0,79.09999753124899,0.03962673488142219,79.0223291308814,79.17766593161657,78.5434145295255,0.03931603452132583,78.46635510186371,78.6204739571873,74.6621091465682,0.03930990368233134,74.58506173535083,74.73915655778556,64.77431388008968,0.0393352581331158,64.69721677414877,64.85141098603059,55.26970333327676,0.03944021465766152,55.19240051254774,55.347006154005776,45.85364179348589,0.0396531559684104,45.77592160778781,45.931361979183976,36.59749452631611,0.04004808565760445,36.51900027842721,36.67598877420502,27.804800949234764,0.041126961762574146,27.72419210418012,27.88540979428941,19.564696551926318,0.043754812415958876,19.478937119591038,19.650455984261598,12.115936096380041,0.04942680181254867,12.019059564827446,12.212812627932637,6.41082871342584,0.0698599398597682,6.273903231300694,6.5477541955509855
04,AZ,7358219.0,78.25708606933281,0.011739537421392084,78.23407657598689,78.28009556267874,77.79866929755691,0.011534634965036386,77.77606141302545,77.82127718208838,73.91138336600201,0.011530019655668161,73.8887845274769,73.93398220452713,64.01924588001526,0.01153213487368992,63.99664289566283,64.0418488643677,54.49908942639516,0.011530907764813499,54.47648884717612,54.5216900056142,45.12577233702884,0.011542539418854306,45.103148959767886,45.1483957142898,35.89446546779866,0.011623542970345438,35.87168332357678,35.91724761202054,27.234367569108777,0.01193527029901839,27.2109744393227,27.257760698894852,19.338837523047356,0.01275937658716176,19.31382914493652,19.363845901158193,12.291689768950882,0.01470049271009008,12.262876803239106,12.320502734662657,6.829325533801047,0.020506134993710932,6.789133509213373,6.86951755838872
05,AR,2812586.0,75.90141833885258,0.012931039881548888,75.87607350068474,75.92676317702042,75.59551679486422,0.012307623632000473,75.5713938525455,75.61963973718295,71.74343333857169,0.012292452934544536,71.71934013081999,71.7675265463234,61.90541992315968,0.012278939131920217,61.88135320246111,61.92948664385824,52.49154472076587,0.012194316758492916,52.46764385991923,52.51544558161252,43.262370430628614,0.012116883974141755,43.238621338039295,43.286119523217934,34.253382829893916,0.012113346561267243,34.229640670633835,34.277124989154,25.932409142333782,0.012342891652255328,25.90821707469536,25.956601209972202,18.42871083764194,0.013058397660469784,18.40311637822742,18.45430529705646,11.87279564073774,0.014905677329642555,11.843580513171641,11.902010768303839,6.842985743369269,0.021013444858777017,6.801799391446066,6.884172095292472
06,CA,45206977.0,80.29409725627086,0.0054064676873511325,80.28350057960365,80.30469393293806,79.77118547873705,0.005327446847021377,79.7607436829169,79.78162727455721,75.86424059941012,0.005326165897647611,75.85380131425073,75.87467988456952,65.96362166839867,0.005326122455670711,65.95318246838556,65.97406086841178,56.36260236555964,0.005329005163825962,56.35215751543854,56.373047215680735,46.835850169764726,0.005338572595348242,46.82538656747784,46.84631377205161,37.41615025707204,0.005370759901716977,37.405623567664676,37.426676946479404,28.510835546468854,0.0054842226117903185,28.500086470149746,28.521584622787962,20.339061236056548,0.005787205859778329,20.32771831257138,20.350404159541714,13.056183975761087,0.006499385050243763,13.043445181062609,13.068922770459565,7.4911562788195285,0.008853058992269524,7.4738042831946805,7.5085082744443765
08,CO,4483870.0,79.63105350957989,0.013774009447542954,79.6040564510627,79.65805056809707,79.14872732706345,0.01353026436747488,79.1222080089032,79.17524664522371,75.24177221908752,0.013516666878940634,75.2152795520048,75.26826488617024,65.3552340500505,0.013509662564371937,65.32875511142433,65.38171298867667,55.8391733034187,0.013495713583280614,55.812721704795464,55.86562490204193,46.38968098985921,0.013513145424490615,46.36319522482721,46.41616675489121,37.04600726604474,0.013592630740607896,37.01936570979315,37.07264882229633,28.18869681770435,0.013868565587056623,28.16151442915372,28.215879206254982,19.94322988846688,0.014592981325935275,19.914627645068048,19.971832131865714,12.547765122539234,0.016419857124031746,12.515582202576132,12.579948042502336,6.875658460214056,0.022607730616340548,6.831347308206029,6.919969612222083
09,CT,3534769.0,80.33176838429895,0.014620312252939954,80.3031125722832,80.36042419631471,79.86530803002968,0.014088400193084837,79.83769476565124,79.89292129440813,75.9571012136861,0.014077901366861807,75.92950852700706,75.98469390036514,66.05944866552808,0.01407267538844408,66.03186622176673,66.08703110928943,56.47964783554456,0.014013714379648688,56.45218095536045,56.507114715728676,47.02936050418005,0.013921837781311876,47.002073702128676,47.05664730623142,37.62871757673557,0.013948550541715446,37.60137841767381,37.65605673579733,28.70391482441993,0.01419152666802017,28.67609943215061,28.731730216689247,20.358077373655814,0.014856864017720479,20.328957920181082,20.387196827130545,12.940688429710681,0.01643520012832491,12.908475437459165,12.972901421962197,7.364129791791204,0.022129428517701014,7.32075611189651,7.4075034716858985
10,DE,845690.0,78.00423677706961,0.03114752615510632,77.94318762580559,78.06528592833362,77.71534143716964,0.02919126315792208,77.65812656138012,77.77255631295917,73.83751599285789,0.02916224119947298,73.78035800010692,73.89467398560886,63.96519031796522,0.02904364471208745,63.908264774329524,64.02211586160091,54.48568316995589,0.0289109576695705,54.42901769292353,54.54234864698825,45.17238219678606,0.028789111720801185,45.11595553781329,45.22880885575883,35.95738852298123,0.02888112136727973,35.900781525101365,36.0139955208611,27.3614796201918,0.02956888384744793,27.303524607850804,27.4194346325328,19.429426149061715,0.031302656508430705,19.36807294230519,19.49077935581824,12.347500147808297,0.03581127383613312,12.277310051089476,12.417690244527119,7.055108254797857,0.05035562049318314,6.956411238631218,7.153805270964496
11,DC,555037.0,76.98662035143604,0.053840728525515365,76.88109252352604,77.09214817934605,76.69007759843036,0.05257171835676642,76.5870370304511,76.79311816640963,72.81267266866894,0.05255404613669724,72.70966673824101,72.91567859909686,62.92539524392066,0.052538624357043026,62.82241954018086,63.02837094766046,53.522291847210184,0.05243829196562554,53.419512794957555,53.62507089946281,44.08370541063029,0.05251563030823359,43.98077477522615,44.18663604603442,34.828771054902646,0.05288350595166734,34.72511938323738,34.932422726567914,26.40085597897077,0.054537021832902224,26.293963416178283,26.50774854176326,18.917631617351635,0.059080698541739675,18.801833448209823,19.033429786493446,12.229894763772505,0.06887316765553511,12.094903355167656,12.364886172377354,6.724916537095726,0.09588804595131462,6.5369759670311485,6.912857107160303
12,FL,17433115.0,78.72633789773083,0.008761194098694133,78.70916595729739,78.74350983816427,78.35934938764528,0.008462141642567462,78.34276359002585,78.37593518526471,74.48991385073751,0.008450164757749594,74.47335152781233,74.50647617366269,64.61375578604282,0.008445756316873165,64.59720210366174,64.63030946842389,55.12393622711719,0.008410976318971931,55.107450713532,55.14042174070238,45.77193280718907,0.008379399728781343,45.755509183720655,45.78835643065748,36.5541923001139,0.00840495123975962,36.53771859568397,36.570666004543824,27.94265015173708,0.008563069197419506,27.92586653611014,27.959433767364022,20.079008920666215,0.009033071284715427,20.061304100948174,20.096713740384256,12.99656696465319,0.010209466798241144,12.976556409728637,13.016577519577744,7.545407335407356,0.014064743521440763,7.517840438105332,7.57297423270938
